"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","step","test_name","test_suite"
2024-02-14 09:48:37,0,33502,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.92,0.340,0.0900,0.220,0.500,0.810,1.07,0.240,33502,6700,load,2024-02-14_06.47.72_session_f02249c8,20,Find balance,test_http_api,gitter.io
2024-02-14 09:48:37,0,100514,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.88,0.650,0.180,0.620,0.830,1.25,1.60,0.320,100514,20103,load,2024-02-14_06.47.72_session_f02249c8,20,Reserve balance,test_http_api,gitter.io
2024-02-14 09:48:37,0,33502,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,6.92,2.98,1.13,2.93,3.41,4.19,4.80,0.680,33502,6700,load,2024-02-14_06.47.72_session_f02249c8,20,global information,test_http_api,gitter.io
2024-02-14 09:48:42,0,99928,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.67,0.660,0.180,0.620,0.840,1.25,1.58,0.320,99928,19986,load,2024-02-14_06.47.72_session_f02249c8,20,Reserve balance,test_http_api,gitter.io
2024-02-14 09:48:42,0,33312,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,6.58,3,1.25,2.95,3.43,4.17,4.78,0.670,33312,6662,load,2024-02-14_06.47.72_session_f02249c8,20,global information,test_http_api,gitter.io
2024-02-14 09:48:42,0,33310,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.04,0.990,0.310,0.930,1.22,1.71,2.11,0.390,33310,6662,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:42,0,33315,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.49,0.990,0.310,0.930,1.22,1.70,2.09,0.390,33315,6663,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:42,0,33312,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.69,0.350,0.0900,0.220,0.500,0.810,1.04,0.230,33312,6662,load,2024-02-14_06.47.72_session_f02249c8,20,Find balance,test_http_api,gitter.io
2024-02-14 09:48:42,0,66625,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.03,0.330,0.0800,0.200,0.490,0.790,1.04,0.230,66625,13325,load,2024-02-14_06.47.72_session_f02249c8,20,Get balance,test_http_api,gitter.io
2024-02-14 09:48:42,0,33312,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.20,1.01,0.340,0.960,1.25,1.73,2.11,0.390,33312,6662,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
